id,first_name,second_name,team,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,selected_by_percent
1,David,Raya Martín,1,Gardien,5.5,18,270,0,0,2,22.5
2,Kepa,Arrizabalaga Revuelta,1,Gardien,4.4,0,0,0,0,0,0.7
3,Karl,Hein,1,Gardien,4.0,0,0,0,0,0,0.5
4,Tommy,Setford,1,Gardien,4.0,0,0,0,0,0,0.2
5,Gabriel,dos Santos Magalhães,1,Défenseur,6.1,14,270,0,0,2,21.2
6,William,Saliba,1,Défenseur,6.1,16,184,0,0,2,15.9
7,Riccardo,Calafiori,1,Défenseur,5.7,28,224,1,2,2,11.4
8,Jurriën,Timber,1,Défenseur,5.6,26,172,2,1,1,9.1
9,Jakub,Kiwior,1,Défenseur,5.4,0,0,0,0,0,0.1
10,Myles,Lewis-Skelly,1,Défenseur,5.4,1,44,0,0,0,2.7
11,Benjamin,White,1,Défenseur,5.4,6,70,0,0,1,0.6
13,Brayden,Clarke,1,Défenseur,4.0,0,0,0,0,0,0.5
14,Maldini,Kacurri,1,Défenseur,4.0,0,0,0,0,0,0.2
15,Josh,Nichols,1,Défenseur,4.0,0,0,0,0,0,0.2
16,Bukayo,Saka,1,Milieu,9.9,9,142,1,0,1,5.8
17,Martin,Ødegaard,1,Milieu,7.9,7,147,0,0,1,2.5
18,Noni,Madueke,1,Milieu,7.0,6,181,0,0,1,1.1
19,Gabriel,Martinelli Silva,1,Milieu,6.9,4,128,0,0,1,1.1
20,Leandro,Trossard,1,Milieu,6.9,1,37,0,0,0,0.3
21,Declan,Rice,1,Milieu,6.5,16,262,0,2,2,8.9
22,Mikel,Merino Zazón,1,Milieu,5.9,4,76,0,0,1,0.4
23,Fábio,Ferreira Vieira,1,Milieu,5.4,0,0,0,0,0,0.0
24,Christian,Nørgaard,1,Milieu,5.4,0,0,0,0,0,0.2
25,Ethan,Nwaneri,1,Milieu,5.4,1,52,0,0,0,0.2
26,Martín,Zubimendi Ibáñez,1,Milieu,5.5,9,270,0,0,2,1.9
28,Ismeal,Kabia,1,Milieu,4.5,0,0,0,0,0,0.2
29,Albert,Sambi Lokonga,1,Milieu,4.5,0,0,0,0,0,0.1
30,Kai,Havertz,1,Attaquant,7.4,1,30,0,0,0,0.5
31,Gabriel,Fernando de Jesus,1,Attaquant,6.5,0,0,0,0,0,0.0
266,Eberechi,Eze,1,Milieu,7.5,4,103,0,0,1,11.1
662,Cristhian,Mosquera,1,Défenseur,5.4,3,111,0,0,0,0.1
666,Viktor,Gyökeres,1,Attaquant,9.0,14,239,2,0,1,24.7
700,Max,Dowman,1,Milieu,4.5,5,27,0,1,0,0.3
711,Andre,Harriman-Annous,1,Milieu,4.5,0,0,0,0,0,0.0
725,Piero,Hincapié,1,Défenseur,5.5,0,0,0,0,0,0.0
32,Emiliano,Martínez Romero,2,Gardien,5.0,2,90,0,0,0,1.7
33,Marco,Bizot,2,Gardien,4.5,7,180,0,0,1,0.8
34,Joe,Gauci,2,Gardien,4.0,0,0,0,0,0,0.2
35,Filip,Marschall,2,Gardien,4.0,0,0,0,0,0,0.0
36,Matty,Cash,2,Défenseur,4.5,10,253,0,0,1,5.0
37,Lucas,Digne,2,Défenseur,4.5,9,160,0,0,1,2.1
38,Ezri,Konsa Ngoyo,2,Défenseur,4.5,4,155,0,0,1,13.6
39,Ian,Maatsen,2,Défenseur,4.4,2,109,0,0,0,0.7
40,Tyrone,Mings,2,Défenseur,4.5,9,270,0,0,1,1.3
41,Pau,Torres,2,Défenseur,4.5,3,106,0,0,0,0.4
42,Andrés,García,2,Défenseur,4.0,0,0,0,0,0,0.2
43,Álex,Moreno Lopera,2,Défenseur,4.0,0,0,0,0,0,5.7
44,Lamare,Bogarde,2,Défenseur,4.0,1,22,0,0,0,0.3
45,Lino,da Cruz Sousa,2,Défenseur,4.0,0,0,0,0,0,0.3
46,Yasin,Özcan,2,Défenseur,4.0,0,0,0,0,0,0.2
47,Morgan,Rogers,2,Milieu,7.0,7,270,0,0,1,8.3
48,Youri,Tielemans,2,Milieu,5.9,7,270,0,0,1,1.8
